Income,Illiteracy,HS Grad
3624,2.1,41.3
6315,1.5,66.7
4530,1.8,58.1
3378,1.9,39.9
5114,1.1,62.6
4884,0.7,63.9
5348,1.1,56
4809,0.9,54.6
4815,1.3,52.6
4091,2,40.6
4963,1.9,61.9
4119,0.6,59.5
5107,0.9,52.6
4458,0.7,52.9
4628,0.5,59
4669,0.6,59.9
3712,1.6,38.5
3545,2.8,42.2
3694,0.7,54.7
5299,0.9,52.3
4755,1.1,58.5
4751,0.9,52.8
4675,0.6,57.6
3098,2.4,41
4254,0.8,48.8
4347,0.6,59.2
4508,0.6,59.3
5149,0.5,65.2
4281,0.7,57.6
5237,1.1,52.5
3601,2.2,55.2
4903,1.4,52.7
3875,1.8,38.5
5087,0.8,50.3
4561,0.8,53.2
3983,1.1,51.6
4660,0.6,60
4449,1,50.2
4558,1.3,46.4
3635,2.3,37.8
4167,0.5,53.3
3821,1.7,41.8
4188,2.2,47.4
4022,0.6,67.3
3907,0.6,57.1
4701,1.4,47.8
4864,0.6,63.5
3617,1.4,41.6
4468,0.7,54.5
4566,0.6,62.9
