"X","Y"
0,28.30194465
0,27.69805535
0.1,27.59747526
0.1,26.42252474
0.2,26.54023475
0.2,25.53976525
0.3,25.53367892
0.3,24.64632108
0.4,24.68202762
0.4,23.63797238
0.5,24.08193105
0.5,22.41806895
0.6,23.11954902
0.6,21.60045098
0.7,22.10991019
0.7,20.87008981
0.8,21.34522454
0.8,19.93477546
0.9,20.56695821
0.9,19.05304179
1,19.98255207
1,18.01744793
1.1,18.34504117
1.1,18.07495883
1.2,17.85453332
1.2,17.02546668
1.3,16.74452456
1.3,16.63547544
1.4,16.9541221
1.4,14.9658779
1.5,16.13023342
1.5,14.36976658
1.6,15.09044183
1.6,14.02955817
1.7,13.95659956
1.7,13.82340044
1.8,13.70656633
1.8,12.77343367
1.9,12.6769708
1.9,12.5430292
2,12.58809385
2,11.41190615
2.1,12.27438768
2.1,10.54561232
2.2,10.94298937
2.2,10.73701063
2.3,10.57387386
2.3,10.00612614
2.4,10.43098586
2.4,9.089014137
2.5,9.410179541
2.5,9.089820459
2.6,8.914000001
2.6,8.605999999
2.7,8.534461899
2.7,8.045538101
2.8,8.056284864
2.8,7.623715136
2.9,7.754458219
2.9,7.065541781
3,7.634036283
3,6.365963717
3.1,7.246582857
3.1,5.973417143
3.2,6.849100781
3.2,5.630899219
3.3,6.642404402
3.3,5.137595598
3.4,5.863942615
3.4,5.256057385
3.5,6.063101219
3.5,4.436898781
3.6,5.428376802
3.6,4.491623198
3.7,5.606491453
3.7,3.773508547
3.8,5.227893119
3.8,3.652106881
3.9,4.525100509
3.9,3.894899491
4,4.402186422
4,3.597813578
4.1,4.758803452
4.1,2.861196548
4.2,4.199835879
4.2,3.080164121
4.3,4.304104061
4.3,2.675895939
4.4,3.922413815
4.4,2.797586185
4.5,3.936571234
4.5,2.563428766
4.6,3.475456258
4.6,2.844543742
4.7,4.009883699
4.7,2.170116301
4.8,3.546412207
4.8,2.533587793
4.9,3.132688848
4.9,2.887311152
5,3.244465454
5,2.755534546
5.1,3.32265158
5.1,2.69734842
5.2,3.415903337
5.2,2.664096663
5.3,3.849798127
5.3,2.330201873
5.4,3.705672236
5.4,2.614327764
5.5,3.771382959
5.5,2.728617041
5.6,3.874565607
5.6,2.845434393
5.7,4.370751686
5.7,2.609248314
5.8,4.417012496
5.8,2.862987504
5.9,4.585337478
5.9,3.034662522
6,4.688521862
6,3.311478138
6.1,4.571513761
6.1,3.848486239
6.2,4.648767293
6.2,4.231232707
6.3,5.318655145
6.3,4.061344855
6.4,5.539263968
6.4,4.380736032
6.5,5.856225066
6.5,4.643774934
6.6,6.354389454
6.6,4.765610546
6.7,6.412782104
6.7,5.367217896
6.8,6.735541999
6.8,5.744458001
6.9,7.571066384
6.9,5.648933616
7,7.046610304
7,6.953389696
7.1,7.644062447
7.1,7.175937553
7.2,8.664919328
7.2,7.015080672
7.3,8.816248722
7.3,7.763751278
7.4,9.121804454
7.4,8.398195546
7.5,9.682354493
7.5,8.817645507
7.6,10.27003064
7.6,9.249969359
7.7,10.65437291
7.7,9.925627086
7.8,11.04353174
7.8,10.63646826
7.9,11.83799234
7.9,10.98200766
8,12.49773842
8,11.50226158
8.1,13.30916164
8.1,11.91083836
8.2,13.42961098
8.2,13.05038902
8.3,14.78554068
8.3,12.99445932
8.4,15.44535317
8.4,13.67464683
8.5,15.63529134
8.5,14.86470866
8.6,16.84528446
8.6,15.07471554
8.7,16.99392851
8.7,16.38607149
8.8,18.35428151
8.8,16.52571849
8.9,18.96932606
8.9,17.45067394
9,19.11088379
9,18.88911621
9.1,19.96241495
9.1,19.65758505
9.2,20.95377042
9.2,20.32622958
9.3,22.40444262
9.3,20.57555738
9.4,22.49315013
9.4,22.22684987
9.5,23.28204444
9.5,23.21795556
9.6,24.89677306
9.6,23.42322694
9.7,25.42696918
9.7,24.75303082
9.8,26.15586401
9.8,25.92413599
9.9,27.70356664
9.9,26.31643336
10,28.69414157
10,27.30585843
